Fri Jul 30 16:02:36 2021

AGV_path; ;AGV_time 
AGV_1
70;60;20;9999
69;60;19;20
68;60;18;19
67;60;17;18
66;60;16;17
65;60;15;16
64;60;14;15
63;60;13;14
62;60;12;13
61;60;11;12
60;60;10;11
59;60;9;10
58;60;8;9
57;60;7;8
56;60;6;7
55;60;5;6
54;60;4;5
53;60;3;4
52;60;2;3
51;60;1;2
50;60;0;1
AGV_2
5;20;16;9999
5;19;15;16
5;18;14;15
5;17;13;14
5;16;12;13
5;15;11;12
5;14;10;11
5;13;9;10
5;12;8;9
5;11;7;8
5;10;6;7
5;9;5;6
5;8;4;5
5;7;3;4
5;6;2;3
5;5;1;2
AGV_3
10;60;9;9999
9;60;8;9
8;60;7;8
7;60;6;7
6;60;5;6
5;60;4;5
AGV_4
75;58;28;9999
74;58;27;28
73;59;26;27
72;59;25;26
71;60;24;25
70;60;23;24
69;60;22;23
68;60;21;22
67;61;20;21
66;61;19;20
65;62;18;19
64;62;17;18
63;62;16;17
62;62;15;16
61;62;14;15
60;62;13;14
59;62;12;13
58;62;11;12
57;62;10;11
56;62;9;10
55;62;8;9
54;62;7;8
53;62;6;7
52;62;5;6
51;62;4;5
50;62;3;4
AGV_5
11;60;10;9999
10;61;9;10
9;61;8;9
8;61;7;8
7;61;6;7
6;61;5;6
5;61;4;5
4;61;3;4
